site_id,site_name,tier,operator_or_venue,firms_linked,lat,lon,coord_precision,city,country,capacity_note,power_mw,status,evidence_type,evidence_note,evidence_url,confidence,verify_url_hint
T1-015,"KIO Santa Fe 2 (MEX 2) — BIVA, Mexico City",execution,KIO Data Centers — Santa Fe 2 (MEX 2); venue: Bolsa Institucional de Valores (BIVA),"BIVA (Bolsa Institucional de Valores, Mexico's second equities exchange); BIVA Cloud market-data platform",19.36,-99.282,approximate,Mexico City (Cuajimalpa),Mexico,"Operator specs for MEX 2: 1,200 m2 construction, 1,137 kW, 2 computer rooms with anti-seismic pedestals. Hosts BIVA (began operations in 2018 per KIO's customer page); KIO describes the BIVA Cloud market-data platform — matching-engine siting is not explicitly stated publicly.",1.137,active,operator_docs,KIO operator pages: Santa Fe 2 (MEX 2) facility specs and BIVA customer page,https://kiodatacenters.com/en/centro_de_datos/santafe2,confirmed,
T1-016,"NSE Colocation, Exchange Plaza (Bandra Kurla Complex, Mumbai)",execution,National Stock Exchange of India Ltd (NSEIL),"200+ NSE trading members in racks plus 100+ via Colocation-as-a-Service (per NSE, Jan 2025); OPG Securities Pvt. Ltd named in SEBI's 2019 co-location order as gaining first-connect advantage to TBT data",19.0607,72.8612,approximate,Mumbai,India,"Over 1,200 full-rack-equivalents (FRE) live as of Jan 2025 — NSE calls itself 'one of the largest colocation facility providers in the world'; targets 1,500 racks at Exchange Plaza BKC by end Q1 FY2025-26 and ~2,000 more FREs over two years (DCD, Sept 2024: tripling from ~1,400 to 4,000 racks), converting existing Exchange Plaza office premises into data centre space. No MW figure published; NSE…",,active,regulatory_docs,"NSE press release (Jan 2025): 1,200+ full-rack-equivalents at Exchange Plaza BKC; SEBI co-location case orders (2019) document the facility's unfair-access history",https://nsearchives.nseindia.com/web/sites/default/files/2025-01/PR_cc_08012025.pdf,confirmed,
T1-017,"BSE Colocation — P.J. Towers (Phiroze Jeejeebhoy Towers), Dalal Street, Mumbai",execution,"BSE Ltd (venue); colo data centre managed by NTT DATA Global Data Centers, formerly Netmagic Solutions (NTT 'BSE DC3' / 'DC3 - Mumbai (BSE)')","Estee Advisors (self-declared BSE co-location/DMA broker); Thomson Reuters/LSEG Elektron India hub; BSE-named SMA algo vendors Greeksoft Technologies, uTrade Solutions, Resolute Softech. No individual global HFT firm documented at BSE colo — absence is the finding.",18.9296,72.8331,exact,Mumbai,India,"~300 colo racks (mid-2025), expanding toward ~500 (mix of 15 kVA and 6 kVA racks; ~650 standard-rack equivalent) partly into the reclaimed historic Rotunda Hall, per BSE CEO May 2025 earnings-call remarks reported in press; colo network round-trip latency <10 microseconds, exchange response ~6 microseconds (~16 microseconds total), PTP from BSE Grandmaster clock, 10 Gbps fibre to trading system…",,active,exchange_docs,"BSE colocation documents (bseindia.com) place the colo in P.J. Towers, Dalal Street",https://www.bseindia.com/downloads/fii/ColocationOfServers.pdf,confirmed,
T1-018,KRX Busan derivatives computing centre (matching engine),execution,Korea Exchange (KRX); systems operated/integrated by Koscom,Securities/futures firms and international high-frequency derivatives traders access via adjacent Koscom proximity hosting; no individual trading firms named in the public record,35.1383,129.0642,approximate,Busan,South Korea,Runs matching for KRX's derivatives market. Koscom: Seoul (KOSPI/KOSDAQ) and Busan (derivatives) data centres back each other up interchangeably. No power (MW) figure published.,,active,operator_docs,Koscom official pages: Busan data centre runs derivatives matching (Seoul/Busan centres back each other up),https://www.coltdatacentres.net/fr-FR/old/-/media/Files/asia-data-sheets/2022/colt-busan-datasheet-en.pdf?rev=-1&hash=F9342C19C24FC9772C9CFA9DA433C9AA,confirmed,
T1-019,Koscom Busan Proximity DC / Colt Busan Data Centre (KB Insurance Building),execution,"Koscom (KRX IT subsidiary); proximity hosting marketed with KVH (2012), now Colt DCS",Target customers per launch press: international traders in high-frequency KRX derivatives trading; securities/futures firms lease racks and dealing rooms. No individual firms publicly named as tenants.,35.138,129.0647,approximate,Busan,South Korea,"Colocation floor on 2F of KB Insurance Building, opened 4 June 2012, within 100 m of the KRX derivatives computing centre. Services: rack/cage space lease, dealing-room lease, securities-network transmission lines; Colt DCS (ex-KVH) adds managed infrastructure and ultra-low-latency connectivity to Tokyo, Chicago, Singapore, Hong Kong, Seoul, Sydney. No MW figure published.",,active,operator_docs,"Koscom Busan Proximity DC pages (opened June 2012, within 100 m of KRX derivatives computing centre); Colt Busan datasheet",https://www.koscom.co.kr/portal/main/contents.do?menuNo=200290,confirmed,
T1-020,SGX Co-Location Data Centre (Keppel Digihub / Keppel DC Singapore 1),execution,"Singapore Exchange (SGX) co-location service; building operated by Keppel (Keppel Digihub, later Keppel DC Singapore 1)","No individual quant/HFT firms named in the public record; by April 2011 '50 clients, comprising brokers, proprietary trading firms, funds and vendors' had signed up (The TRADE). Vendors/service providers publicly present: TNS (2021), Beeks Financial Cloud.",1.3756,103.87496,approximate,Singapore,Singapore,"SGX Data Centre officially opened 11 April 2011 (co-location service initially launched June 2010) as part of SGX's S$250m Reach programme; Reach matching engine live 16 Aug 2011 with <90 microsecond latency; colo round-trip network latency <100 microseconds (SGX/TNS, 2021). SGX Primary Data Centre meets Uptime Institute Tier III design requirements; facilities provided by a third-party data…",,active,exchange_docs,SGX news release (2015) for the SGX Data Centre; Keppel Digihub identification via DCD/industry databases — hence reported,https://links.sgx.com/FileOpen/20150624_News_Release_BCOI_report.ashx?App=ArchiveAnnouncement&FileID=357241&AnncID=5NDW88WZ0QVNLLAT,reported,
T1-021,"ASX Australian Liquidity Centre (Gore Hill, Artarmon NSW)",execution,ASX (Australian Securities Exchange),"100+ financial organisations colocated (ASX); 2012 launch customers per iTnews incl. ABN Amro Clearing, Citi Group, Goldman Sachs, Instinet, Morgan Stanley, Deutsche Bank; Cboe Connect access in ALC Meet Me Rooms A/B; Beeks (ASX Colo OnDemand IaaS)",-33.81897,151.18507,approximate,Sydney (Artarmon),Australia,"Purpose-built financial-markets DC, opened Feb 2012, ~A$32m, ~1,000 sqm hall, planned 100 ASX + 500 customer cabinets (iTnews); Tier III design (ASX); ASX operates its primary markets and post-trade platforms from the ALC; ASX Net optical fibre network and ASX microwave connectivity service offered from site. No MW power figure in public record.",,active,operator_docs,"ASX ALC service pages; opened Feb 2012 at Gore Hill (Artarmon), not Gordon as commonly misremembered",https://www.asx.com.au/alc,confirmed,
T1-022,"Equinix SY5 (Cboe Australia matching engine, Alexandria NSW)",execution,Equinix (facility); Cboe Australia (trading venue),Cboe Australia (CXA) primary trading platform (Cboe Titanium); participant PoP in Equinix SY2 latency-equalised to SY5; Cboe DR site at Global Switch Ultimo,-33.91831,151.18943,exact,Sydney (Alexandria),Australia,"Cboe Titanium (CXA) matching engine housed in SY5; SY2 participant connections latency-equalised to 'single digit nanoseconds'. SY5 facility opened 2019; 54MW designed electrical capacity per Baxtel industry database (whole Equinix site, not venue-specific; Equinix's own spec sheet is bot-walled).",,active,exchange_docs,"Cboe CXA connectivity manual: Cboe Australia matching engine in Equinix SY5; Baxtel lists 54MW whole-site design capacity (industry database, not venue-specific)",https://cdn.cboe.com/resources/membership/CXA_Connectivity_Manual.pdf,confirmed,
T1-023,TWSE Banqiao Data Center (TWSE co-location; TPEx/TAIFEX systems),execution,Taiwan Stock Exchange Corporation (TWSE); built on land purchased from Chunghwa Telecom in Banqiao; also houses Taipei Exchange (TPEx) and Taiwan Futures Exchange (TAIFEX) systems,"No individual quant/HFT firm publicly named. Eligibility is limited to TWSE-member securities firms (head office) and contracted information vendors, so any non-member (incl. foreign HFT) access is intermediated by member brokers. TWSE ran special audits (Nov 2020) of brokers' colo use, including fairness of client access. Absence of firm-level links is the finding.",24.9945,121.4592,approximate,"Banqiao District, New Taipei City (metro Taipei)",Taiwan,"Opened 25 Jan 2016; NT$3.55bn total investment (land, building, systems); 7 floors above ground + 3 basements, 28,647 sqm; dual independent Taipower feeds; TIA-942 certified; designed for magnitude-7 earthquakes. Co-location racks at 4kW or 5kW with one 100Mbps trading and one market-data line each; equal-distance connections to the matching engine. Houses TWSE, TPEx and TAIFEX systems in one…",,active,exchange_docs,"TWSE official co-location pages; Banqiao DC opened Jan 2016 (NT$3.55bn), documented to road-intersection level only",https://www.twse.com.tw/en/products/colo/colo.html,confirmed,
T1-024,"JSE Colocation Centre (One Exchange Square, Sandton)",execution,JSE Limited (Johannesburg Stock Exchange),No individual trading firms publicly named as colo clients. JSE brochure permits sub-letting by JSE Members to their clients and by accredited Shared Infrastructure Providers (SIPs). Beeks Group and IPC Systems publicly partner on the in-facility 'Colo 2.0' private-cloud service (announced June 2023). Millennium IT software powers the JSE trading platform (per DCD).,-26.105,28.058,approximate,Johannesburg (Sandton),South Africa,"Exchange data centre housed at the JSE building, designed to Tier III standards. Launched May 2014 (DCD; JSE 2023 announcement confirms 2014). JSE brochure (2021): expansion Phases 1-4 incorporated 35 new racks plus an additional 38 for a total of 73 racks; JSE Magazine (2022) cites 71 racks with a ~43-rack expansion planned for early 2023. Hosting units offered at 3kW or 5kW feeds (no site-level…",,active,exchange_docs,"JSE colocation service pages + brochure: colo housed in the JSE building, One Exchange Square, Sandton (launched May 2014)",https://www.jse.co.za/services/jse-colocation-connectivity,confirmed,
T1-025,TASE Data Centre (Tel Aviv Stock Exchange building),execution,Tel Aviv Stock Exchange (TASE),Avelacom (PoP with connectivity/colocation/HaaS in TASE's primary data center since Mar 2023); otherwise unnamed 'leading international institutions' per TASE executive quote,32.0633,34.7692,approximate,Tel Aviv,Israel,"Colocation + hosting of member trading servers at 'TASE's Data Center', initiated by mid-2020 (TASE Q2-2020 results). Building computer room (built 2012-2014, contractor Electra): ~1,000 sqm, Tier III-equivalent, air-cooled chillers with 1,200-ton cooling capacity; computing center on floor -4 per Xnet. No MW figure in public record. Avelacom NY-Tel Aviv route <117ms round-trip (The TRADE, 2023).",,active,corporate_announcement,TASE Q2-2020 results announce colocation at TASE Data Centre; Electra (contractor) project page places the building at Ahuzat Bait 2,https://www.prnewswire.com/news-releases/the-tel-aviv-stock-exchange-ltd-reports-the-results-of-the-financial-statements-for-the-second-quarter-of-2020-301110174.html,confirmed,
T1-026,"Equinix TY3 Tokyo (Edagawa, Koto-ku) — Asia FX colo hub, ex-EBS Tokyo matching engine",execution,"Equinix (TY3); venues: LSEG FX venue datacentre (PriceStream primary locations include Tokyo TY3; FXall accessible via TY3 cross connect, FXall primary at Centersquare EWR2/NJ2), CME Globex Hub - Tokyo EBS access (TY3/TY5); historically hosted the EBS Markets Tokyo matching engine","CME Group (EBS), LSEG (Refinitiv); banks/brokers publicly reported to keep FX pricing engines in TY3 (no individual firms asserted)",35.65668,139.80345,approximate,Tokyo (Koto-ku),Japan,"Legacy EBS Markets ran three independent matching engines in NY4, LD4 and Tokyo TY3; after the CME Globex migration the Tokyo engine was retired (CME's regional table lists Tokyo TY3 with no trading engine, conflated market data only) and CME Globex Hub - Tokyo provides EBS-only market access to TY3/TY5 colo customers. TY3 remains a core Asia FX hub: LSEG lists it as a venue datacentre with…",,active,exchange_docs,"LSEG FX venues colo connectivity guide (2026) + CME Globex Hub Tokyo page; ex-EBS Tokyo matching engine site, still Asia FX colo hub",https://thesource.lseg.com/TheSource/getfile/download/840e069d-969a-4b99-b663-1a67046ab6ed,confirmed,
T1-027,Equinix SG3 Singapore (Ayer Rajah Crescent) — LSEG NDF Matching primary engine,execution,"Equinix (SG3); venue: LSEG NDF Matching production engine (Trading API, market data, post-trade primary in Singapore SG3; colo access via SG1/SG3 cross connects; DR in London LD4)",LSEG (Refinitiv); venue development publicly supported by the Monetary Authority of Singapore; FX dealers' Singapore e-trading engines referenced generically in LSEG release (SG1),1.29592,103.79071,approximate,Singapore,Singapore,"LSEG's cleared NDF Matching venue announced May 2022 (production launch targeted mid-2023, MAS-supported); the 2026 connectivity guide lists all production NDF Matching APIs with primary location 'Singapore SG3', colo access via Equinix SG1 campus cross connects, and DR in London LD4. Completes the follow-the-sun picture: Asia FX matching gravity shifting Tokyo → Singapore. Note: the 2022…",,active,operator_docs,LSEG NDF Matching primary engine in SG3 per LSEG connectivity guide + May 2022 launch release,https://thesource.lseg.com/TheSource/getfile/download/840e069d-969a-4b99-b663-1a67046ab6ed,confirmed,
T1-028,MOEX colocation — DataSpace1 (Moscow),execution,"Moscow Exchange (MOEX) colocation, hall 202 of DataSpace1 (operator: DataSpace)","No individual Western firm publicly documented in the colo; MOEX itself cited international 'investment funds, HFT traders and market makers' (2019). Non-resident trading barred from end-Feb 2022.",55.721,37.6785,approximate,Moscow,Russia,"Four-storey, 9.5MW facility with Uptime Tier III Gold rating (per DCD 2014). MOEX primary DC + colo since 7 Nov 2016; facility still operational (MOEX colocation guide valid since 10 Oct 2022) — 'historical' flag refers to its role as an international HFT destination, ended Feb 2022.",9.5,historical,exchange_docs,MOEX colocation connectivity guide names DataSpace1 (primary DC + colo since Nov 2016); 9.5MW per DCD. Flagged historical: international HFT colo story ended with the 2022 sanctions exodus,http://ftp.moex.com/pub/connectivityguides/en/mcg1001-en-colocation-connectivityguide.pdf,confirmed,
T1-029,MOEX legacy DC — M1 (Moscow),execution,"M1 / M1Cloud data center (NICEVT building); MICEX-RTS/MOEX primary DC and colo until Nov 2016, MOEX disaster-recovery site thereafter",No individual Western firm publicly documented; international HFT access to the M1-hosted Micex-RTS matching engine documented via TMX Atrium London-Stockholm-Moscow fiber (2012) and HFT-focused press (2015),55.595,37.604,approximate,Moscow,Russia,"Commercial DC in the NICEVT building, in operation since 2006 (operator page). Hosted the Micex-RTS/MOEX securities data center and HFT colocation until the 7 Nov 2016 DataSpace1 cutover; MOEX DR site since. No public MW figure found.",,historical,exchange_docs,MOEX network access page + 2012-2015 trade press: M1 hosted MICEX-RTS/MOEX colo before the DataSpace1 move,https://www.moex.com/s653,confirmed,
T1-030,"JPX Kansai Data Center & Kansai Proximity Service (arrownet AP4), Osaka",execution,Japan Exchange Group (Kansai backup DC; proximity area run by an unnamed designated data center operator adjacent to arrownet AP4),"JPX trading participants, information vendors and ISVs using Kansai Proximity racks; JPX/OSE systems operations teams (Tokyo-Osaka twin-hub monitoring)",34.69,135.5,city_level,Osaka,Japan,"Backup matching site built against a Tokyo-inland-quake scenario: derivatives (J-GATE3.0) backup live 2021-09-21, cash equities backup 2022-07-04, listed-derivatives clearing 2022-07-19 (all 構築完了 per JPX 2023-01-20 table). Kansai Proximity Service (adjacent to AP4) sells rack space reaching the Tokyo matching engines over arrownet. Not a matching site in normal operation — trades still execute…",,active,exchange_docs,"JPX news releases (2021-2023): Kansai backup matching site (J-GATE3.0 2021, cash equities 2022) + Kansai Proximity Service at arrownet AP4; facility address not published — city-level",https://www.jpx.co.jp/corporate/news/news-releases/0060/20230120-01.html,confirmed,
T2-001,Richborough mast (Kent),network,Vigilant Global (DRW),DRW,51.2960,1.3320,approximate,Richborough,UK,"Proposed ~322m Vigilant (DRW) Channel-path mast; refused by Dover District Council Jan 2017, Vigilant confirmed no appeal (Aug 2017). Mapped as a refused-proposal site, not an active mast.",,historical,planning_docs,Vigilant press release (no appeal) + Dover DC planning record via Sniper in Mahwah part 6,https://www.prnewswire.com/news-releases/vigilant-confirms-it-will-not-appeal-richborough-mast-planning-decision-300504911.html,confirmed,
T2-002,Houtem mast (Flanders),network,New Line Networks (Jump/Virtu JV),Jump Trading;Virtu,51.0210,2.5790,approximate,Houtem/Veurne,Belgium,243m (800ft) ex-US-forces microwave tower bought by Jump for ~EUR 5m (2013) for the Channel microwave path.,,active,press,Bloomberg (via Traders Magazine) on the tower purchase; Laumonier fieldwork,https://www.tradersmagazine.com/departments/brokerage/wall-street-grabs-nato-towers-in-traders-speed-of-light-quest/,reported,
T2-003,McKay Brothers / Quincy Data Aurora head-end,network,McKay Brothers,quant/HFT subscriber base (Quincy Data = McKay market-data arm),41.79805,-88.24355,approximate,Aurora IL,USA,"Chicago-side head-end of McKay's Aurora-NJ microwave route, live since July 2012; QED delivers Aurora-sourced CME data at Carteret in 3.982ms, Secaucus 4.015ms (operator-published).",,active,operator_docs,"Quincy Data global coverage page + launch/upgrade press releases; pinned at the CME Aurora campus (2705-2905 Diehl Rd) — coords moved with the T1-004 geocode correction, head-end dishes/tower not separately resolved",https://www.quincy-data.com/global-coverage,confirmed,
T2-004,West Chicago shortwave site (experimental),network,shell entities linked to prop trading,Toggle Communications LLC (FCC licensee; IMC B.V. real party of interest per Bloomberg),41.8850,-88.2040,approximate,West Chicago IL,USA,Experimental shortwave transatlantic latency,,active,press,Van Valzah Shortwave Trading part I; Bloomberg follow-up (via DCK); FCC experimental license,https://sniperinmahwah.wordpress.com/2018/05/07/shortwave-trading-part-i-the-west-chicago-tower-mystery/,reported,
T2-005,Slough-Frankfurt microwave corridor (LD4 head-end),network,McKay Brothers/Vigilant et al.,multiple HFT subscribers,51.52346,-0.63608,exact,Slough,UK,London-Frankfurt sub-5ms paths,,active,corporate_announcement,McKay Brothers launch release (Mar 2015): Slough-LD4 to Frankfurt-FR2 microwave at 4.64ms round trip / 2.320ms one-way — names the LD4 head-end (pin = LD4 building). Ofcom fixed-links register is an interactive portal with no stable per-path URLs (bulk extraction is Phase 2); this URL documents McKay only — Vigilant et al. on the corridor per Laumonier fieldwork,https://www.prnewswire.com/news-releases/mckay-brothers-launches-route-between-slough-and-frankfurt-in-464-ms-lowest-known-latency-300047866.html,confirmed,
