firm,site_name,role,operator,city,country,address,lat,lon,coord_precision,status,gpu_count,gpu_type,power_mw,power_basis,capacity_note,confidence,evidence_count,evidence_url
Akuna Capital,AWS cloud (region undisclosed),cloud_region,Amazon Web Services,Chicago,USA,,41.87745,-87.62592,symbolic,operational,,,,,"Akuna runs a large-scale AWS cloud environment per its own Systems Engineer posting. No named region, no instance/GPU counts, no MW. Symbolic cloud entry only.",confirmed,1,https://akunacapital.com/careers/job/6632731/systems-engineer/?gh_jid=6632731
Akuna Capital,Akuna Capital HQ (333 S. Wabash) - on-prem trading infrastructure,on_prem_hq,self,Chicago,USA,"333 South Wabash Avenue, Floor 26, Chicago, IL 60604",41.87745,-87.62592,exact,operational,,,,,"Chicago HQ / lead office (options market-making). Akuna's own Systems Engineer posting states it manages server infrastructure 'at third party and local data centres', indicating on-prem/local server rooms in addition to colo. No MW, no GPU/HPC cluster disclosed. Not a megawatt-scale compute campus.",confirmed,4,https://akunacapital.com/who-we-are
Akuna Capital,"Secaucus, NJ trading colocation (Equinix NY-cluster area)",colocation,Equinix (facility); tenant: Akuna Capital,Secaucus,USA,,40.7896,-74.0565,city_level,operational,,,,,"US East-coast trading colocation, evidenced only by an Akuna 'Data Center Engineer' role indexed in Secaucus, NJ plus network/infrastructure roles referencing 'offices, data centers and trading co-locations'. Secaucus hosts the Equinix NY-series financial ecosystem (CME NY4 at 755 Secaucus Rd). Specific hall/rack count, provider contract and MW are not public.",inferred,2,https://www.linkedin.com/jobs/view/data-center-engineer-at-akuna-capital-4338906991
AlphaGrep Securities,"AlphaGrep GPU/HPC cluster — Shanghai (unnamed, hiring-signal only)",office_hpc,self,Shanghai,China,,31.2304,121.4737,city_level,operational,'hundreds of accelerators' (job-ad language; not a firm hardware figure),,,,"AlphaGrep's own Greenhouse HPC Engineer posting (Shanghai) describes managing a GPU cluster spanning 'hundreds of accelerators' with InfiniBand and/or RoCEv2, GPUDirect RDMA/Storage, NCCL/CUDA, for distributed model training. This is a hiring signal only: the existence of an in-house GPU cluster is inferred, not a disclosed facility. No facility name, rack count, GPU model, or MW is stated anywher",inferred,1,https://job-boards.greenhouse.io/alphagrepsecurities/jobs/6793662002
AlphaGrep Securities,"AlphaGrep HQ — Parinee Crescenzo, BKC Mumbai",on_prem_hq,self,Mumbai,India,"Parinee Crescenzo, Floor 13, Unit 12A-05, G Block, Bandra Kurla Complex, Mumbai, Maharashtra 400051",19.0668,72.8656,exact,operational,,,,,"Registered Mumbai office/HQ address of AlphaGrep Securities Pvt Ltd, confirmed by the firm's own contact page and its PeeringDB org record. This is an office address only — no public disclosure of any HPC/data-center room, rack count, GPU, or MW at this location.",confirmed,2,https://www.alpha-grep.com/connect/
AlphaGrep Securities,Extreme IX Mumbai — AlphaGrep interconnect presence,colocation,Extreme IX (Mumbai),Mumbai,India,,19.076,72.8777,city_level,operational,,,,,"AlphaGrep's network (ASN 150560) peers at Extreme IX Mumbai via IP 103.77.109.69 on a 10G port. Indicates a colocated router/interconnect presence in a Mumbai carrier facility; the specific data-center building is not identifiable (Extreme IX spans ~14 Mumbai PoPs). No compute, rack count, or MW data.",inferred,1,https://www.peeringdb.com/asn/150560
Amber Group,Amber Group cloud-native / multi-cloud compute (AWS named; symbolic Singapore HQ marker),cloud_region,"AWS (Amazon Web Services) named; plus undisclosed additional 'mainstream cloud providers' (multi-cloud, self-managed on cloud)",Singapore,Singapore,,1.2789,103.848,symbolic,operational,,,,,"Cloud-native, multi-cloud trading/API infrastructure. No self-built data centre, no named colocation hall, no GPU/ML compute campus, and no MW figure exist in the public record. A vendor case study (API7/APISIX) describes the architecture as cloud-native with services across multiple 'mainstream cloud providers'; AWS is the only cloud explicitly named (logs migrated off the ELK stack on AWS). No s",reported,3,https://api7.ai/blog/amber-api-gateway-architecture
Aquatic Capital Management,Aquatic Capital Management Chicago HQ (225 W Randolph St / The Bell),on_prem_hq,self,Chicago,United States,"225 W Randolph Street, 23rd Floor, Chicago, IL 60606",41.8846,-87.635,exact,operational,,,,,"Chicago headquarters of the systematic/quant firm (also has offices in New York and London per its own site). The firm's Systems Engineer posting states its compute infrastructure spans an on-premise grid, hybrid cloud compute on GCP and AWS, GPU workloads, Slurm/Ray clusters, bare-metal infrastructure and data centers, and VAST high-performance storage (NFS and S3-compatible). No specific data-ce",confirmed,5,https://www.aquatic.com/
Arrowstreet Capital,"Arrowstreet Capital HQ (200 Clarendon St, Boston) — on-prem + cloud HPC posture, no named facility",on_prem_hq,self,Boston,United States,"200 Clarendon Street, 30th Floor, Boston, MA 02116 (John Hancock Tower)",42.3489,-71.0748,exact,operational,,,,,"No MW, GPU count, or named data-center/colocation facility disclosed. Firm's own site describes 'advanced data science and high performance computing'; Boston job ads describe a hybrid on-prem + cloud (AWS/Azure) and 'cloud-native data and HPC platform for research.' Long-horizon systematic global equity manager (~$287B AUM, Dec 2025 per press/ADV aggregators), not latency-sensitive HFT. Whether a",inferred,3,https://www.arrowstreetcapital.com/contact/
Aspect Capital,Aspect Capital - AWS cloud (MWAA / ECS / EC2 autoscaling),cloud_region,Amazon Web Services,London,United Kingdom,,,,symbolic,operational,,,,,"Firm migrated compute-intensive ETL/forecasting workflows off overprovisioned static on-prem machines to AWS under the AWS Migration Acceleration Program: MWAA (managed Airflow) orchestrating ECS containers on autoscaling EC2 clusters, chosen over Fargate due to high floating-point-precision requirements. No AWS region, instance count, GPU, or MW disclosed.",reported,2,https://ubertasconsulting.com/case-studies/aspect-capital/
Aspect Capital,Aspect Capital - two undisclosed data centres (~400 servers),undisclosed,undisclosed,London,United Kingdom,,,,symbolic,operational,,,,,"Firm-stated (primary source): Infrastructure team runs 'over 400 servers (a mix of Linux and Windows) from two data centres.' Neither data centre is named or located publicly, and no source states whether they are colocation or self-operated, so role marked undisclosed. No GPU, rack count, or MW disclosed. Systematic/medium-frequency CTA, not latency-HFT, so no exchange-colocation footprint expect",confirmed,1,https://www.aspectcapital.com/careers/
Aspect Capital,"Aspect Capital HQ - 10 Portman Square, London",on_prem_hq,self,London,United Kingdom,"10 Portman Square, London W1H 6AZ",51.5155,-0.1573,exact,operational,,,,,"Headquarters and trading floor of the systematic/CTA manager; the London-based Trading team receives 24-hour support from the Infrastructure team. HQ is the trading/ops nerve center, not itself a described server hall (the firm states servers run from two separate data centres). No MW disclosed.",confirmed,3,https://www.aspectcapital.com/contact/
Auros,Auros HQ / multi-cloud (Hong Kong),cloud_region,AWS (confirmed via vendor case study); on-prem unspecified,Hong Kong,Hong Kong,,22.2796,114.1722,symbolic,operational,,,,,"Crypto-native algorithmic trading and market-making firm. AWS case study confirms trading compute runs on Amazon EC2 with Nitro Enclaves for secure on-chain trading; no AWS region, data center, colocation hall, GPU count, CPU core count, or MW figure is named anywhere in the public record. HQ Hong Kong; second office New York (per AWS case study text). No self-built data center or grid/permit/plan",reported,2,https://aws.amazon.com/solutions/case-studies/auros/
Baiont Quant,"Baiont Quant HQ — Xingzhi Science & Technology Park, Nanjing",on_prem_hq,self,Nanjing,China,"Xingzhi Science & Technology Park, Building C (floors 7 & 15), Nanjing Economic & Technological Development Zone, Qixia District, Nanjing, Jiangsu 210000",32.138,118.928,approximate,operational,,,,,"Registered HQ and primary office of this AI-native quant fund (legal entity 南京倍漾私募基金管理有限公司). No public record specifies a dedicated compute facility, GPU count, MW, or whether ML training runs on-prem here vs. rented cloud/GPU. Mapped as the physically-documented firm location; compute specs are absent from the public record. This is an office in a science-park building, not a documented data cent",confirmed,3,https://baiontcapital.com/contact.html
Baiont Quant,Baiont Quant Shanghai office — Bohua Plaza (One Museum Place),office_hpc,self,Shanghai,China,"Bohua Plaza / One Museum Place, Floor 45, 669 Xinzha Road, Jing'an District, Shanghai 200041",31.234,121.459,approximate,operational,,,,,"Secondary office in a Grade-A Shanghai office tower (One Museum Place, Jing'an). No public record indicates any data-center hall, GPU cluster, or MW capacity here; a commercial office tower is not a colo/DC. Listed as a distinct documented Baiont location, with no evidence of compute infrastructure beyond ordinary office IT.",confirmed,2,https://baiontcapital.com/contact.html
Balyasny (BAM),BAM AI research engine on OpenAI (BAM ChatGPT / GPT-5.4 reasoning engine),cloud_region,OpenAI,Chicago,USA,,41.8858,-87.6389,symbolic,operational,,,,,"AI research engine built on OpenAI models (GPT-5.4 used as a reasoning engine alongside internal models); products include BAM ChatGPT and BAM Embeddings; reported deployed across ~95% of investment teams. Consumed as a cloud service; no dedicated facility, GPU count, or MW disclosed.",confirmed,2,https://www.bamfunds.com/news-and-insights/balyasny-openai-feature
Balyasny (BAM),"BAM research compute on AWS (Batch + EKS, GPU instances)",cloud_region,Amazon Web Services,Chicago,USA,,41.8858,-87.6389,symbolic,operational,,,,,"Cloud-native research HPC on AWS: AWS Batch integrated with Amazon EKS; GPU-optimized plus CPU/memory-optimized instances; FSx for Lustre / S3 / NFS storage. Some teams run 100,000+ jobs/week, tens of thousands concurrent, across ~160 investment teams. No AWS region, GPU count, vCPU count, or MW disclosed.",confirmed,2,https://aws.amazon.com/blogs/hpc/how-bam-supercharged-large-scale-research-with-aws-batch/
Blackwing Asset Management (黑翼资产),"Blackwing Asset Management — Shanghai HQ (Times Financial Center, Pudong)",on_prem_hq,self,Shanghai,China,"33F, Times Financial Center, 68 Yincheng Middle Road, Pudong New Area (FTZ), Shanghai",31.2378,121.4996,approximate,operational,,,,,"Headquarters office of a systematic/quant fund that describes full-process AI (LLMs for text/sentiment, RL for portfolio construction) across its research pipeline. NO public disclosure of dedicated compute: no GPU counts, no named data centre or colocation hall, no cloud region, no MW figure. Any research/HPC compute is inferred to sit at or near HQ; not independently documented.",reported,3,https://www.qyh.net/fund/companyDetail/5b80c7a664ac092c760f0f04.html
Bridgewater,"Bridgewater Associates HQ (symbolic cloud-compute anchor, no named facility)",cloud_region,AWS + Microsoft Azure (public cloud); self-operated HQ campus,Westport,USA,"One Nyala Farms Road, Westport, CT 06880",41.1181,-73.3452,exact,operational,,,,,"Cloud-first / hybrid multi-cloud. Per Wiz case study, cloud resources on both AWS and Azure with AKS+EKS containers managed by Kubernetes across ~200 cloud accounts; mission-critical systems in the cloud. Per AWS Big Data blog, a Spark research service on Amazon EMR on EKS scales to ~1,600 EC2 instances / 25,000 cores at peak, ~3,000 jobs/day, in a single AWS Region spanning multiple AZs (region n",confirmed,4,https://aws.amazon.com/blogs/big-data/removing-complexity-to-improve-business-performance-how-bridgewater-associates-built-a-scalable-secure-spark-based-research-service-on-aws/
Cantab (GAM Systematic),"GAM Cantab research base, Cambridge (City House, Hills Road)",on_prem_hq,self,Cambridge,United Kingdom,"City House, Hills Road, Cambridge, CB2 1RE (multi-tenant building; exact unit/floor and postcode CB2 1RE vs CB2 1RY not pinned in surviving sources)",52.19563,0.13744,approximate,operational,,,,,"Historical/operational Cambridge research base of Cantab (now GAM Cantab / GAM Systematic). Cambridge base is documented from the 2016 GAM acquisition ('They will remain based in Cambridge') through ~2021 press coverage. NOTE: the active legal entity GAM Systematic LLP (Companies House OC317557, formerly Cantab Capital Partners LLP) now has its REGISTERED OFFICE in London (8 Finsbury Circus), and ",reported,5,https://www.gam.com/en/news-articles/press-releases/corporate/gam-announces-acquisition-of-cantab-capital-partners
Capital Fund Management (CFM),AWS cloud (HPC burst compute),cloud_region,Amazon Web Services,Paris,France,,,,symbolic,operational,,,,,"CFM bursts HPC/portfolio-optimization workloads to AWS when on-prem resources are exhausted, using EMR/EMR Serverless, S3, and Graviton (ARM) architecture; a partner case study reports the portfolio-optimization burst cut total running time by ~80%. Specific AWS region, instance counts, and MW are not publicly disclosed.",reported,3,https://www.aneo.eu/en/case-studies/cfm-strategic-migration-aws-scalable-quantitative-trading-operations
Capital Fund Management (CFM),CFM headquarters and on-premise HPC (Paris),on_prem_hq,self,Paris,France,"23 rue de l'Université, 75007 Paris",48.8578,2.3265,exact,operational,,,,,"On-premise HPC clusters plus on-prem hosting of dev/Jupyter components; a partner AWS case study describes 'saturation of its on-premise HPC clusters' driving AWS bursting, and the AWS/CFM co-authored blog says CFM chose to keep hosting some components on its on-premises infrastructure. No named data hall, colocation provider, MW, GPU or CPU-core count is publicly disclosed. CFM operates its own A",confirmed,4,https://aws.amazon.com/blogs/big-data/how-cfm-built-a-well-governed-and-scalable-data-engineering-platform-using-amazon-emr-for-financial-features-generation/
Castle Ridge Asset Management,Castle Ridge HQ — WALLACE AI supercomputer (on-prem),office_hpc,self,Toronto,Canada,"161 Bay Street, Suite 2700, Toronto, ON M5J 2S1 (TD Canada Trust Tower, Brookfield Place) — HQ address per the firm's own LinkedIn page. An older third-party directory lists 100 King St W, Suite 4710. WALLACE-specific press states only 'headquarters in Toronto' with no street address.",43.6472,-79.3798,approximate,operational,,,,,"Proprietary self-built AI supercomputer 'WALLACE', unveiled Sept 2023 at the Toronto HQ. Claimed 'quadrillions of floating-point calculations per second' (i.e. 2+ petaflops per DCD). Custom-designed hardware, chassis, cooling and software. Fluorinert liquid-cooled system, ~7.5 ft x 5.5 ft footprint; unit ~2m tall x 1.5m wide. Reported build cost ~US$10M (DCD, citing Financial News). Firm's own des",confirmed,5,https://www.globenewswire.com/news-release/2023/09/13/2742209/0/en/Castle-Ridge-unveils-one-of-a-kind-AI-supercomputer-WALLACE.html
Chengqi Asset Management (诚奇资产),"Chengqi Asset Management HQ — Kerry Plaza Tower 3, Futian, Shenzhen (self-operated in-house GPU/HPC)",on_prem_hq,self,Shenzhen,China,,22.5354,114.0578,exact,operational,,,,,"Firm's Shenzhen HQ (office tower, not a purpose-built data centre). LOCATION is primary-sourced (firm's own site). Compute is described only as an in-house capex line, and only in a secondary write-up (Zhihu/Sina, reported-grade): hardware spend risen year-on-year to the 'hundreds-of-millions RMB' (上亿元) level, buying scarce high-end GPUs (高端显卡) at key moments while refusing to hoard compute; ~500-",confirmed,3,https://cqfunds.com/en/intro/
Chicago Trading Co (CTC),"CTC Headquarters - 425 S Financial Place (Gateway Plaza), Chicago",on_prem_hq,self,Chicago,USA,,41.8757,-87.633,exact,operational,,,,,"HQ office lease at the 39-story, ~1.04M sq ft Gateway Plaza tower: 114,000 sq ft across the annex plus the entire 4th and 5th floors and an expanded 6th floor (~27,000 sq ft addition), built around a former trading floor. This is CTC's headquarters and primary in-house technology/engineering site (FPGA and low-latency trading-system development per firm careers pages). No data-center hall size, ra",confirmed,4,https://www.chicagotrading.com/about
Citadel (hedge fund),Citadel LLC global HQ — Miami (compute location undisclosed),undisclosed,self,Miami,USA,"830 Brickell Plaza, Miami, FL (HQ office; not a data center)",25.7657,-80.1936,symbolic,operational,,,,,"Citadel (the hedge fund) runs in-house HPC/GPU compute as an activity: it publicly hired Christopher Johnston (ex-Millennium/Virtu/Jump) as head of North America Compute in Oct 2025 'to enhance its computing architecture for quantitative research and AI', and its HPC R&D team (Jia, Maggioni, Staiger, Scarpazza) published NVIDIA GPU microbenchmarking papers under a 'Citadel' Chicago-office affiliat",inferred,4,https://www.hedgeweek.com/citadel-adds-millennium-compute-team-head-to-bolster-ai-infrastructure/
Citadel Securities,"Citadel Securities Global Headquarters, 830 Brickell",on_prem_hq,self,Miami,United States,,25.7669,-80.1918,exact,operational,,,,,"Global HQ located at the 830 Brickell tower (OKO Group/Cain International), Miami FL; a purpose-built HQ tower is planned at 1201 Brickell Bay Drive. Documented as an office/HQ only - no publicly documented on-site HPC room, server hall, GPU count, or megawatt figure. Included as the corporate anchor; the firm's heavy research compute is on Google Cloud (see cloud_region record).",confirmed,2,https://therealdeal.com/miami/2026/04/28/ken-griffin-expands-office-space-at-planned-brickell-tower/
Citadel Securities,Citadel Securities quantitative research on Google Cloud,cloud_region,Google Cloud,Miami,United States,,25.7617,-80.1918,symbolic,operational,,,,,"Firm's primary quantitative-research compute has run on Google Cloud since 2017; can spin up more than 1 million cores concurrently across GPU-accelerated, compute-optimized and memory-optimized instances, with premium hardware in co-located racks and 200 Gbps networking, via dedicated interconnect to Citadel Securities' data centers. No specific Google Cloud region, colocation facility, or power ",confirmed,3,https://cloud.google.com/transform/citadel-securities-reimagine-quantitative-reseach-cloud-scale-speed
Continuum Capital Management,Continuum Capital Management Limited - DIFC HQ (Dubai),on_prem_hq,self,Dubai,United Arab Emirates,,25.2145,55.281,city_level,operational,,,,,"Registered office / HQ of a newly launched systematic quant fund (est. ~late 2025; ~$500m Morgan Stanley mandate; founder Nikolay Aleksandrov, ex-ExodusPoint/Millennium). NO compute facility is in the public record: no named data centre, colocation hall, cloud region, PeeringDB record, permit, or grid/MW/GPU disclosure. The 'localized data centers / AI-driven execution engines' phrasing in the CEO",inferred,3,https://www.hedgeweek.com/foreign-backed-uae-hedge-fund-launches-gain-momentum/
D.E. Shaw,"Anton 3 at Pittsburgh Supercomputing Center (DESRES-built, PSC-hosted)",office_hpc,Pittsburgh Supercomputing Center (host; joint CMU/Univ. of Pittsburgh center); built by D.E. Shaw Research; NIH-funded,Pittsburgh,USA,"Pittsburgh Supercomputing Center, Pittsburgh, PA (host facility; exact building not source-stated)",40.4443,-79.953,city_level,operational,,,,,"SEPARATE ENTITY / NOT TRADING and NOT DESRES-OPERATED: a 64-node third-generation Anton system built by D.E. Shaw Research, funded by a $3.15M NIH award, physically hosted and operated at PSC; operational at PSC on 1 April 2025; provided at no cost by DESRES for non-commercial US biomedical/academic molecular-dynamics research. Included to show the full public Anton footprint; not a D.E. Shaw trad",confirmed,3,https://www.psc.edu/resources/anton/
D.E. Shaw,D.E. Shaw & Co. NYC headquarters (Two Manhattan West),on_prem_hq,self,New York,USA,"Two Manhattan West, 375 Ninth Avenue, New York, NY 10001",40.7522,-73.9986,exact,operational,,,,,"HEDGE FUND HQ. The firm's own site gives this HQ address and describes 'sophisticated technology ... with more than 750 talented developers and engineers,' but names no data-center location publicly. Included as the anchor corporate address, not a disclosed data hall. The firm's ASN AS4195 has a Restrictive PeeringDB record with no listed facilities or internet exchanges, consistent with keeping i",confirmed,3,https://www.deshaw.com/contact
D.E. Shaw,D.E. Shaw Research NYC HPC facility (in-house Anton),office_hpc,self,New York,USA,"120 W. 45th St., New York, NY 10036",40.757,-73.984,exact,operational,,,,,"SEPARATE ENTITY / NOT TRADING: D.E. Shaw Research (DESRES) is a David-Shaw-founded molecular-dynamics / drug-discovery lab; the Anton supercomputers do biochemistry, not markets. DESRES states its Anton systems are 'used for in-house research and development activities ... drug discovery.' Included for completeness with an explicit caveat that this is research compute, not the trading firm's infra",confirmed,2,https://www.deshawresearch.com/technology.html
D.E. Shaw,Digital Realty Piscataway campus (D.E. Shaw & Co. colocation suite fit-out),colocation,Digital Realty,Piscataway,USA,"3 Corporate Place / 1115 Centennial Ave, Piscataway, NJ 08854 (campus; specific building of D.E. Shaw suite not disclosed)",40.5462,-74.4413,city_level,operational,,,,,TRADING/SYSTEMS SIDE of the hedge fund (D.E. Shaw & Co.). Electrical-BIM contractor Dimensional Design Systems states D.E. Shaw & Co. was expanding a data-center suite at Digital Realty's Piscataway campus (the '320 Data Suite') in summer 2020; D.E. Shaw's leased power not disclosed. Campus context only: Digital Realty's 3 Corporate Place building is documented at ~26 MW utility capacity with a 69,reported,3,https://dimensionaldesignsystems.com/data-centers
DRW,DRW / Vigilant Montreal office - HPC & AI R&D,office_hpc,self (Vigilant - a DRW company),Montreal,Canada,"1360 Boulevard Rene-Levesque Ouest, Suite 1700, Montreal QC H3G 2W4",45.4967,-73.5749,exact,operational,,,,,"Vigilant (a DRW company; vigilantglobal.com now redirects to drw.com) R&D site. DRW's own live careers board lists an 'HPC Specialist' in Montreal and an 'AI Research & Development' department with Montreal roles (AI Full Stack Software Developer, Data Developer), indicating an on-prem HPC / AI-research compute function at this office. No facility size, GPU count, or MW disclosed. Location/role si",inferred,2,https://www.drw.com/contact-us
